baseline,lineshape,bwf_g,peak_set,intensity,material_class,snr_label,n_spectra,rmse,coverage,failure_rate,eligible
poly3,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.6347827501769396,0.0,0.0,False
poly3,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,0.8900842133204714,0.16666666666666666,0.0,False
poly3,lorentzian,True,DG,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly3,lorentzian,True,DG,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly3,lorentzian,True,DGDp,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly3,lorentzian,True,DGDp,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly3,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly3,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly3,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,200,30,0.29786949929367806,0.36666666666666664,0.0,False
poly3,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,200,30,0.4737965645222707,0.3,0.0,False
poly3,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,200,30,1.7029685451177374,0.03333333333333333,0.0,False
poly3,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,200,30,1.0599551828235947,0.23333333333333334,0.0,False
poly3,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.701349819993035,0.03333333333333333,0.0,False
poly3,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,1.059567603882303,0.23333333333333334,0.0,False
poly5,gaussian,False,DG,area,synthetic_disordered_carbon,200,30,0.1773064962177862,0.23333333333333334,0.0,False
poly5,gaussian,False,DG,height,synthetic_disordered_carbon,200,30,0.3332214494341307,0.36666666666666664,0.0,False
poly5,gaussian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.2591693173705525,0.03333333333333333,0.0,False
poly5,gaussian,False,DGDp,height,synthetic_disordered_carbon,200,30,0.8830829403213949,0.23333333333333334,0.0,False
poly5,gaussian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.2593294488775606,0.03333333333333333,0.0,False
poly5,gaussian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,0.881673661478653,0.23333333333333334,0.0,False
poly5,lorentzian,False,DG,area,synthetic_disordered_carbon,200,30,0.2318180862952225,0.36666666666666664,0.0,False
poly5,lorentzian,False,DG,height,synthetic_disordered_carbon,200,30,0.24957803045658394,0.6666666666666666,0.0,False
poly5,lorentzian,False,DGDp,area,synthetic_disordered_carbon,200,30,1.2809384480703536,0.0,0.0,False
poly5,lorentzian,False,DGDp,height,synthetic_disordered_carbon,200,30,0.7996230819895004,0.16666666666666666,0.0,False
poly5,lorentzian,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.2812424867812153,0.0,0.0,False
poly5,lorentzian,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,0.7993925405710055,0.16666666666666666,0.0,False
poly5,lorentzian,True,DG,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly5,lorentzian,True,DG,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly5,lorentzian,True,DGDp,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly5,lorentzian,True,DGDp,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly5,lorentzian,True,DGDpD3D4,area,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly5,lorentzian,True,DGDpD3D4,height,synthetic_disordered_carbon,200,30,,0.0,1.0,False
poly5,pseudo_voigt,False,DG,area,synthetic_disordered_carbon,200,30,0.17612807554645507,0.23333333333333334,0.0,False
poly5,pseudo_voigt,False,DG,height,synthetic_disordered_carbon,200,30,0.33241251442460523,0.36666666666666664,0.0,False
poly5,pseudo_voigt,False,DGDp,area,synthetic_disordered_carbon,200,30,1.2641918100724239,0.03333333333333333,0.0,False
poly5,pseudo_voigt,False,DGDp,height,synthetic_disordered_carbon,200,30,0.8947434910970519,0.23333333333333334,0.0,False
poly5,pseudo_voigt,False,DGDpD3D4,area,synthetic_disordered_carbon,200,30,1.2629066717620598,0.03333333333333333,0.0,False
poly5,pseudo_voigt,False,DGDpD3D4,height,synthetic_disordered_carbon,200,30,0.8941096276538928,0.23333333333333334,0.0,False
